            C,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  36.3846097434   7.6883565949   9.3714737260             1.0762014278            0.66696713284            0.46699208346            4499470844500             0.8652190805             37.891175977
  15.0130547538  -2.1108024108  10.4688095166            0.57673219355            0.45328787778            0.34433898118           10817901507000            0.92271019363             31.790976373
  19.6069203474  -1.0221840342   4.8871162040            0.56655048888            0.42946850847            0.32427219499            9511735102600            0.92689417186             30.477552698
  19.1301643304  15.7883416865  17.4223424754             0.8051352976            0.50822211739            0.38007242482            7132490207500            0.90366666734              30.88760006
  27.5474737354  17.4854548495  14.9928167657            0.97376912197            0.60677201622            0.42969057607            4978466510400            0.87723702556             30.788869359
  28.0877068150 -13.6533945573   6.2650145346             0.7888220211            0.58107729799            0.40357042566            5037029849000             0.8914158394             37.238319171
  25.0450111239 -12.9371779183  20.6883545375            0.97471893652            0.65505241115            0.45107564374            4756450271000            0.85160576991             38.229763588
  39.8116845549   9.2802747678  -9.9317218646            0.64172237339            0.49936918042            0.36355201652            6089421786400            0.90744518341             31.682161327
  23.1525027404   9.4426817308  -5.4532376514             1.0871459741            0.89879741186            0.67740389135           94589698258000            0.55163782489             59.726068067
  28.5476070164  21.8523309332 -14.9919431991            0.57705271191            0.61854673029             0.4787967905          257381211880000            0.72060963564             55.848320545
  49.9029607831  -1.2248733237 -14.7215456054            0.94551618843            0.67051390682            0.46014358735            4728479721100            0.86786640171             40.295577295
  16.4436056328  -6.7600060613   5.3623530500            0.50735881904            0.42196482264            0.31860326439           10315305692000              0.929947856             30.830810271
  54.7596791006  -9.7960739611   5.2673543647             1.3037027431            0.77807437623            0.53215094878            3299942160600            0.81746674662             42.068414506
  39.5663632436  12.9323191674  -8.9920390808            0.60930636292            0.55438470094            0.40249171683            9394025705600            0.87149579614             40.113543098
  27.0708120218  10.7773970064 -11.3593189553             1.1065362678            0.90669766914            0.69704817483          145717823850000            0.52720043109              60.77025626
  41.5243716298  24.5837923109  20.5459445359             1.4241619818            0.79253244666            0.55150952883            3365206776900             0.7837401282             41.889135731
  25.4340784872  14.2131759444  -2.5408866648            0.94566175206            0.83495836237            0.62416886333           70585722023000            0.62753519706             57.625999424
  48.1227560635   9.3857855071   1.7505654331             1.2169081069            0.75537912973            0.52082696142            3960163680600            0.82309261826             42.195705205
  28.1837823989   5.8793839368  19.0570916412             1.0537706171            0.62458445046            0.44436213277            4798406095900             0.8770590867             34.653513745
  27.7817625831  -8.1817841784  20.4000550641             1.0266004796            0.65036222275            0.45077674094            4393415842900            0.85997356185              37.71854124
  32.1280604902  -6.7403572660  12.9925718732            1.00132804673            0.64435321882            0.44937543219            4381178727400            0.86974713295             37.988662186
  38.1549793361  -6.9888338237  12.8972354053             1.1204500375            0.69504583966            0.48275222262            3998331826600            0.84982402122             39.821494128
  50.2438740859  25.4534252734   3.3128259091             1.0664950334            0.65039728345            0.46865155324            4125073380500            0.84583199272             35.499340485
  28.8649351685 -10.8424737753   1.6390837930            0.71971984425            0.53338307888            0.37546706621            5539334306500            0.91094346085             35.744477376
  45.6927124161 -12.5008237655  -2.6513476048             1.0137374231            0.68145328756            0.46905823189            4146342652900            0.86339729163              40.07614525
  22.5327994928   7.8831342902  19.9630144830            0.94229317931            0.56147225339            0.41182699979            5578376532200            0.89578337655             33.056945062
  49.7797761701   6.7341930978  -9.5206305593             1.0335983623            0.70826455215            0.48487975033            4450231022400             0.8417965538             41.162705949
  36.7822133331   3.0048425941  24.2261316271             1.3003938859             0.7238356471             0.5102661364            3742517839700            0.83459732174              39.80461158
  43.2172360215  24.7807684812  14.6782919195             1.3311135847            0.77114879886            0.53866024893            3542062232500            0.79312691077             41.520336985
  16.1524853204  -3.9674535093  19.7260904846            0.77813225199            0.53994132791            0.39762517983            7010701771800            0.90483140115             35.247119529
  18.1370195638   3.1279492205  15.7740160064            0.74490021924            0.48376404939            0.36393868985            7533984141500            0.91674983141             31.762818055
  49.3728948939  -9.0316767801  -5.4102838421             1.0459182438            0.68548031935            0.47429423242            4176352722000            0.86492634121             40.042809913
  32.8683632046  -1.7896851203   6.2069711705            0.90364858443             0.5919365083            0.41832451636            5018382816000            0.89330174898             36.302617987
  22.0257199202  25.7747026214 -12.2973779609             4.0810259582             1.5929814849             1.3550375279          772544838220000          0.0687415271698             66.584891985
  29.3170605527  21.2869447383  20.8504495347               1.15373217            0.67583456779            0.47545881805            4221804865400            0.84702315495             33.968929795
  32.0731441112  -5.4255277158  10.0904201395            0.94926495707            0.61846197048            0.43307113048            4678365819500            0.88198848013             37.180013301
  40.2788035307  -4.1581287330  12.0964879176             1.1574356074            0.70350451182            0.49018470372            3864014915600            0.84900482713             40.047847918
  39.8890418506   0.0569865629  -2.4179749514            0.92096191276            0.62077139701            0.43314102157            4943211963300            0.88702947798             37.441664097
  47.9409236432  19.1150860499 -10.1045729227            0.68160785392            0.61162552656            0.44517378774           12718442098000             0.8428589232             42.714701119
