            C,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  32.1280604902  -6.7403572660  12.9925718732            0.99222500697            0.64643266957            0.45013715896            3567119183500            0.86682562238             38.306130411
  38.1549793361  -6.9888338237  12.8972354053             1.1136129062            0.69887251372            0.48389910757            3172617886800            0.84584212764             40.172491766
  50.2438740859  25.4534252734   3.3128259091            1.05219308546            0.64518233558            0.46502608912            3106187830800            0.84893606676             35.515462116
  28.8649351685 -10.8424737753   1.6390837930            0.71584444348            0.53937674228            0.37789612972            4602029527200             0.9071636331             35.788668508
  45.6927124161 -12.5008237655  -2.6513476048             1.0094030025            0.68590583459            0.47134749222            3368411735500            0.85861423512             40.531505015
  22.5327994928   7.8831342902  19.9630144830            0.93159761454            0.56377289663            0.41204356502            4231128382000            0.89522905858             32.350326302
  49.7797761701   6.7341930978  -9.5206305593            1.01283602367            0.69810995372            0.47860296204            3229724426000            0.84545725631              40.66617193
  36.7822133331   3.0048425941  24.2261316271             1.2913905768            0.72479354638            0.51036316667            2913598940800            0.83211363504             39.721228778
  43.2172360215  24.7807684812  14.6782919195             1.3019668513            0.75516417162            0.52901525308            2557265790500            0.80175109727             40.782095973
  16.1524853204  -3.9674535093  19.7260904846            0.76876800338            0.53763929683            0.39479202201            5848175794400            0.90209016668             34.881974002
  18.1370195638   3.1279492205  15.7740160064            0.73348432651            0.48107097608            0.36106428739            6052419080000            0.91594588939             31.466830208
  49.3728948939  -9.0316767801  -5.4102838421             1.0437688464            0.69163647836            0.47738874315            3355009180500            0.86016939489             40.551369088
  32.8683632046  -1.7896851203   6.2069711705            0.89885590715            0.59838285116            0.42134682239            3810987414700            0.89065266316             36.411435846
  22.0257199202  25.7747026214 -12.2973779609             3.6403225639             1.5071500106            1.27109307468          764151633780000          0.1265264560607             65.876516091
  29.3170605527  21.2869447383  20.8504495347             1.1300281001            0.66252119683            0.46716509981            3083461759200             0.8527002121             33.373945995
  32.0731441112  -5.4255277158  10.0904201395             0.9443037908            0.62487260185             0.4364113524            3698813855500            0.87784463423             37.769239599
  40.2788035307  -4.1581287330  12.0964879176             1.1518278206            0.70769782825            0.49233472324            3103565591900            0.84504138416             40.058150717
  39.8890418506   0.0569865629  -2.4179749514            0.91315207319            0.62334235718            0.43401443968            3718917688200            0.88543115564             37.720203148
  47.9409236432  19.1150860499 -10.1045729227            0.68398083632            0.62621409581            0.45667252811           14095991677000            0.83334082804             44.012583613
  28.2913964974 -13.7000000000  -8.4997401003            0.51262486602            0.43306822101            0.31118873784            5898289695900            0.93494952597             33.868672783
  28.3051091125 -13.7000000000  -8.5067591492            0.51067811878            0.43146226333            0.31042097906            5964719751700            0.93524005619             33.878063351
  28.4462984737 -13.7000000000  -8.5813858400            0.51170878577              0.431761729            0.31068523077            5961223432900            0.93507218719             33.900605143
  29.1391120838 -13.7000000000  -9.0057644662            0.52135505294            0.43856279767            0.31471116779            5888383459600            0.93411907691             34.234409119
  30.0394432656 -13.7000000000  -9.7121930711            0.53010054372            0.44438824843            0.31797888445            5759019666700            0.93335821284             34.586183542
  30.8512305795 -13.7000000000 -10.5829991809            0.53371857879            0.44713858542            0.31961580785            5692880970700             0.9331068126             34.554359365
  31.5273661222 -13.7000000000 -11.6622892460            0.52835399098            0.44372557152            0.31695700113            5681226574800            0.93408220391             34.711752901
  33.4600402443 -13.7000000000 -15.5000000000            0.50617706524            0.43152555815            0.30767529008            6051545000400            0.93680557783             34.166110732
  26.1384722583 -10.3022206584  -7.3100393383            0.47432677022            0.38885515851            0.28540350787            6885708377000            0.93950846913             29.090804378
  27.3131908244  -9.4280934863  -7.5874619918            0.49554850399            0.39864669188            0.29040143835            6597844801900            0.93810783367             29.701286452
  27.4301419464  -9.3166762918  -7.5309281601            0.50091026693            0.40146084298            0.29185501397            6499947877300            0.93782972978             29.909993474
  27.9659153430  -8.8144675622  -7.3181644355            0.51622581562             0.4097622293            0.29613041949            6392436076600            0.93672312133             30.283042961
  28.6838822154  -8.1719924344  -7.1560229532            0.53703461249            0.42173244196            0.30270607045            6102824341600            0.93512726836             30.702842924
  29.4151963481  -7.5513955072  -7.0865674273            0.55677420853            0.43374636119            0.30985713486            5927134325500            0.93329655349             31.253815241
  18.1831181237  25.5704883377  23.0177939425            0.88377370975            0.55125399644            0.41259142686            5349076295600            0.88543178517             34.911347686
  55.0000000000 -13.7000000000  24.5000000000             1.5508356167            0.86810250311            0.58692879843            2500159251300            0.74655801143             43.206651152
  23.3103742438   6.5480195449  12.7448465250             0.8013380737            0.51197147004            0.37247361301            4792287538000            0.91003360838             29.983790392
  23.3333242532   6.5376415169  12.7274028987            0.80082148014            0.51240837555            0.37232748946            4768978746400            0.90996583236             29.829220831
  23.5487721165   6.4218747622  12.5518508793            0.80034936392            0.51207716055            0.37209891239            4684775737100            0.91030440537             29.979109616
  24.1535551398   5.5029360287  11.7549689839            0.79832742846            0.51413496397            0.37217627861            4706627729300            0.91023662173             29.918180776
  24.3756122019   4.1444998699  11.0224766394            0.79051012015            0.51328643489            0.37114747615            4773931864900            0.91098485553             30.465360834
  24.5582465811   3.4800398399  10.7076187503            0.78730795381            0.51354017611             0.3708152351            4748583553900            0.91118788692             30.650391142
  29.4575247395  26.3000000000  11.0222784386            0.81709400557            0.69440698449            0.51251938522           22607196903000            0.79864610791             50.942249129
  55.0000000000   6.6553073766  24.5000000000               1.62781632            0.84080517722            0.58468994941            2134211224200            0.77762890241             43.307553707
  29.5603271016  13.2115494425  10.1094937148            0.90336263677            0.58625569884            0.41283713725            3773401988300            0.88860878617             30.350924588
  29.5537579378  13.2103091140  10.1204202317            0.90275741878            0.58578134675            0.41275621856            3842745643300            0.88902881312             31.000351893
  29.4937311942  13.1951435116  10.2196747214            0.90367413806            0.58641022408            0.41275234898            3787969983200            0.88874449589             30.549452744
  29.3269990782  13.0877136130  10.5080057192            0.90310559101            0.58330234834            0.41113333426            3812735574200            0.88992273365             30.537549639
  29.2301956954  12.9144845182  10.7113851662            0.91292960106            0.58911725491            0.41461394953            3767283430700             0.8884158927             30.992110439
  29.1949939736  12.7426220559  10.8520704219            0.91305960365            0.58761904149            0.41394660644            3835753005600            0.88865240167             31.255338853
  15.2942663610  13.6091686456  24.3382093284            0.86148378508            0.52812049332            0.39823623222            6096997143800            0.90268183869             31.301079336
  55.0000000000  26.3000000000 -15.5000000000            0.77978699789            0.73893767526            0.54867010435           60907620420000            0.73114137057              53.75555635
  25.2827045282 -11.7110339728  -9.1642003153            0.42184627302             0.3688978543            0.27470795238            8005695809900            0.94093197381             27.564734501
  25.2835315265 -11.7136756992  -9.1720043113            0.42131455213            0.36877325553            0.27464466537            7901971687800               0.94104658             27.702594577
  24.5909180218 -12.4842257075  -8.9427576050            0.41106585467            0.36520475521            0.27262242258            8127484245800             0.9413168553             27.996513234
  25.4150330827 -12.5410994950  -9.7907859177            0.41536416229            0.36679451341            0.27228982728            7917413762000            0.94175319702              28.02238591
  21.3587208566  18.4409064769  24.5000000000              1.022779015            0.59692260496            0.43681321375            3872172992500            0.88116317114              32.32238862
  21.7495290500  18.4830256354  24.5000000000             1.0303147872             0.5998603033            0.43812651766            3808365175800            0.87995065617             32.908557871
  15.0000000000 -13.7000000000  11.4828369884            0.58837835155            0.50396265463            0.36548409858            7242915607300            0.90539213755             35.446958388
