            L,G            L,C            G,P            C,W            P,C            P,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
   3.5795070302  16.0931952202   0.0989244958  41.6596969671  18.4813242656   5.7359412039  -3.6804575138  -8.7192641195            0.89777957662            0.61593007937            0.43181884991            4102055948800            0.88853189805             38.015991893
  -0.3456680691  15.4787018215  23.8857350480  23.7577878668  31.0998228113 -12.9872758227 -10.8417731502  -3.2154332372            0.37240321712            0.38217855824            0.28759824717            7218150016200            0.92603084642             33.514416739
  21.4738711476  21.1142083212  22.1582404001  47.7653680954   2.4070825857 -23.5361968487  -4.7160489818   3.7652605965            0.96210577589             0.5915919553             0.4212773065            4435371667800            0.88217186795             37.272110348
  -4.1133140077  26.4153791922   6.1677931595  20.3622975367  15.7717589821 -16.5022980472   7.6514652784  23.5930784919            0.87103144711            0.55043418278            0.40535987316            4369232971700            0.88264377245             32.812946147
   7.6143059967  13.6035170678   2.8630179675  39.6686602166  33.3229475131  -3.9013414466   5.5876586938  17.9663025159             1.2461850819            0.72530355938            0.50872005556            2512396366800            0.82500327819             40.459606733
  14.6241514849   1.2272331990  28.9025843401  53.3425158218  30.5451094853 -14.3752746179  -8.5774149554  20.9897039977             1.4547515372            0.84712415753            0.57381802957            2112941952000            0.76668346342             43.826970247
   5.0808229250  31.0501744864  -2.9776388941  50.5537108126   7.4142960502   5.5159891920  20.7776738463  24.3554183440             1.6745500057            0.81014397753            0.57550201565            2572416505000            0.77413566253              42.29146784
  -3.0433039349  11.2604292428  -1.6700605568  49.4027825678  14.6355513158   2.3981233497 -10.8925246486  -3.3879188171             1.1261717106            0.73517777841            0.50077324209            3817688692200             0.8351584143             41.224688508
  28.5251341265  31.2166512008  16.4780270867  38.2077641900  33.0250229504   1.8731747208  13.3827087098  11.1648729956            0.92009879554            0.64689697198            0.47793667454            8357658562000            0.83951501553             43.028861456
   5.3626744073  20.7335775304  -3.9379353910  27.3041917963  11.3399499783  14.3917079334   0.5144162943  13.2937287301             1.0299798373            0.60355090649            0.44093990649            6638926546700            0.85477115578             36.707220393
  30.2806214644   1.0094192651   6.2991083845  16.9593196337  22.4483764388   1.7826840894   9.7207205580  -1.9859180829             1.6510671098             1.0898227842            0.86227015323          233695692010000             0.3578894092             63.101039495
  22.1777127602   6.8089036887  25.2399822502  43.1875742383  -2.1016089712  -2.0651727128  -6.3857112719  -9.5050294090             1.0295409177             0.7170420639            0.50169792778           43706606354000            0.82004563809             38.772402855
   9.8104824331   9.3721208420  33.6501195503  17.7285255646  19.0944032207  -9.1808530000  18.1411871770  13.8908269745             1.1478825063             0.9156851509            0.69436439104           87635228947000            0.56685604256             59.362538287
  12.2448329360  22.6792855447  -4.6639380715  26.2284393106  29.7795326986  13.1605694308  18.5603147873   5.8304734218            0.86856887492            0.73603941447            0.54598460958           31803097881000            0.76893203706             53.892262036
   8.1375752563  12.7951598729  -0.1799968950  25.0211202180  -1.3883305524 -11.9627286109  22.9278308233  15.2738083853            0.78626420619            0.55344168619            0.41462806013            7803200683700            0.88588979692             36.376976507
  33.3684690544  22.8163240674  17.1237979864  40.0026671072  24.7433170805 -12.9231752482  11.5172413680  -5.3868890486             1.1526904463            0.92398645321            0.70334927115          122148265190000            0.53689812072             59.632633949
  -3.1040462570   1.7344719797  -0.1611544804  34.1952512282  24.5889064723 -17.4648177733  -0.8119109503 -11.3109868609            0.57167986556            0.52117639917            0.35460912865            4445569264100            0.91276100682             33.948722629
  -3.4899812278  23.0272617123  14.9038223485  33.8536052115  25.4759507351  12.4064252093  -0.8822737053  -0.1072559134            0.91846636688            0.60016862667            0.42699243853            3862266756000            0.88076795893             36.598557022
  -2.2285423041  32.9977287422   1.3290009464  16.1773935633  -1.2390263853 -13.3576178053  -0.6928600872 -12.4972256216             4.5358920296             1.6679913879             1.4226200329          917934299470000           0.048869761347             66.869616846
  26.3111953170  25.2327107676  16.0781122562  35.8438862953  18.9856726072   9.1702466111   8.8345248559  -5.4832831074            0.90428830419            0.78402957038            0.57968383506           32131751840000             0.7128100449             48.267305084
  30.9485704814   3.1898046215  18.7901615226  44.2383882674   5.5570323009 -14.7622471677  17.1711920007  19.2340233411             1.2845119039            0.68891871281            0.49686718661           13217832954000            0.85278606847             37.186503347
   5.0632805725  20.7240125621  14.5949184567  18.3262062910   8.0216186153 -17.2989668588  -8.3824238349  19.2458443826            0.71445208791             0.5279115877             0.3829569877            6235101733600            0.89981783924             34.871280026
  16.3846097434  16.3883565949  19.8714737260  46.1188404065  -5.7543279666 -18.8594711871   0.0637646591   3.7447467968            0.99423840742            0.59098010884            0.42658784809           11331569002000            0.88434904401             37.809870205
  -4.9869452462   6.5891975892  20.9688095166  33.4753101805  -1.6112317451  -7.9973737923  -7.7105630958   4.9054228441            0.83514663878            0.57116739964            0.41470193178           19423798699000            0.88439901518             40.543715515
  -0.3930796526   7.6778159658  15.3871162040  20.2747495856   4.0827762624   1.6564821139  18.1942235816  15.3565876267            0.85805835451            0.53425466524            0.40207819565           11792791715000             0.8962747229             31.395857683
  -0.8698356696  24.4883416865  27.9223424754  33.2810937409  -2.1957000585   4.4956449269  -4.5195069811  -1.9089828707            0.78518388853            0.50807216713             0.3727072177           11136357872000            0.88510183418             35.988709223
   7.5474737354  26.1854548495  25.4928167657  22.7374012690   4.0177861418  16.1437884395  19.7566451799 -14.4349196995             4.1069395306             1.5922037888             1.3588891509          836776292330000           0.085356963269             66.480387816
   8.0877068150  -4.9533945573  16.7650145346  18.9035107195   5.7762480481 -18.7336162068  -2.5919968459 -14.6090483820            0.71835721855            0.73525843323            0.54428857752           67270629148000            0.68091789292             56.449952195
   5.0450111239  -4.2371779183  31.1883545375  40.2809805294   2.8185866719  -2.7415484569  12.1972546691   2.9695870847             1.0759807773            0.66533025745            0.47607638196           21233143641000             0.8709562747             39.164789504
  19.8116845549  17.9802747678   0.5682781354  43.3207982115   0.8013792405 -18.8117925734  -6.6246668999  -1.7828205332            0.82896414218            0.53929390933            0.38560984173            6389813837400            0.90388186416              36.76311298
   3.1525027404  18.1426817308   5.0467623486  53.7988452311  13.0706150323 -20.1082465831  10.3564294886 -11.5052919918             0.7361050826            0.55244858704            0.39685085244            4393124483100            0.88058208582             33.491436989
   8.5476070164  30.5523309332  -4.4919431991  41.5005855824  25.8373324168 -15.6274823033   1.4491890079  15.2566352276             1.1344201861            0.67228482159            0.47841037414            2884462951500             0.8283144375             40.089080408
