            L,G            L,C            G,P            C,W            P,C            P,W            G,C            G,W                      MSE                     RMSE                      MAE                     MAPE                       R2                    SMAPE
  31.2969256403  -2.3179844049  11.3797013925  46.6436205248  25.2594702073  -7.6327880192  11.8705044828  15.7417430898             1.2620468064             0.6840084143            0.48596489087            4699052371900            0.86187170927             38.822646674
   9.9809030451  29.1482153840  -4.3996079699  23.5737505405  -4.3957393833 -20.7992796840  -5.2284034476  20.6294654154            0.86619131729            0.57581034292            0.41980316339            7746385504200            0.86556545875              36.95161852
   5.2276210359  -3.9215554783  17.6305491388  33.5797815112   0.3141582884  15.6452029141   0.8144330970  12.2873952975             1.3198187391             0.7943754717            0.56523725723           49351121580000            0.78835817557             42.719036211
  20.6885513574  16.2983754485  -0.5107091060  20.9266341890   7.8037701250  -2.7502475466  16.2274288534 -15.4504560611             4.3768730827             1.6251479643            1.38270550811          846672622480000          0.0599051024309             66.631590253
  -2.7576386707  23.3368272255  -1.1020266254  39.2901842620   5.4655270863 -11.9053567323 -13.4615080631  20.2991660425             1.1678330787            0.70618492743            0.49692534981            4670207742400            0.81443622209             42.449485884
  -0.5581403314   2.1318970718  -0.0892712397  18.2675343833  18.3786230464 -13.8836593663  -6.7151671737  -7.3916087376            0.40746278335            0.49820689609            0.36726712125           22978680767000            0.88646215091             41.825921493
   5.3500626460  -2.5596368839   1.9766259620  24.1691452104   3.1346362271 -22.9605639354  -6.3026238538  17.6692947514            0.79064736549            0.58310282964            0.42213482347           21547520968000            0.88851963597             39.583136551
   3.3596427433  34.0899470995   4.5229187894  24.4964328726  30.1951231795  -4.7360061941  14.7677533681  -0.9346620971            0.82538683797             0.7696814957            0.59892106226          190740794190000            0.64319699198               58.4310354
  20.8343646537   8.9775790302  -0.9866433837  49.0380356633   4.8615814430  -8.6228113496  -5.1189762294  22.6692814674             1.3584341786             0.7299205668            0.51468659729            5235154577100            0.83649774212             41.500474294
   3.5795070302  16.0931952202   0.0989244958  41.6596969671  18.4813242656   5.7359412039  -3.6804575138  -8.7192641195            0.90385644734            0.61140153538             0.4295711091            5322271185400            0.89171816013             37.807915428
  -0.3456680691  15.4787018215  23.8857350480  23.7577878668  31.0998228113 -12.9872758227 -10.8417731502  -3.2154332372            0.38375652002            0.35475048064             0.2678507482            7170658353500            0.93442167207             30.379036744
  21.4738711476  21.1142083212  22.1582404001  47.7653680954   2.4070825857 -23.5361968487  -4.7160489818   3.7652605965              0.967975669            0.58554767383            0.41854087612            5661414102200            0.88325972356             37.416192908
  -4.1133140077  26.4153791922   6.1677931595  20.3622975367  15.7717589821 -16.5022980472   7.6514652784  23.5930784919            0.88252271903            0.55183997873            0.40740172513            5757271507200             0.8814602069             32.941421255
   7.6143059967  13.6035170678   2.8630179675  39.6686602166  33.3229475131  -3.9013414466   5.5876586938  17.9663025159             1.2595142802            0.72950605543            0.51200784422            3367246296000            0.82400987366             40.559522659
  14.6241514849   1.2272331990  28.9025843401  53.3425158218  30.5451094853 -14.3752746179  -8.5774149554  20.9897039977             1.4693959449            0.85073147489            0.57682579867            2496080212600            0.76810489987             43.999447021
   5.0808229250  31.0501744864  -2.9776388941  50.5537108126   7.4142960502   5.5159891920  20.7776738463  24.3554183440             1.6816082618            0.80562619051            0.57336815927            3785639104100            0.77546767151             42.098349064
  -3.0433039349  11.2604292428  -1.6700605568  49.4027825678  14.6355513158   2.3981233497 -10.8925246486  -3.3879188171             1.1267137257            0.72713729461            0.49717355876            4572893537800            0.84225527436             41.167900285
  28.5251341265  31.2166512008  16.4780270867  38.2077641900  33.0250229504   1.8731747208  13.3827087098  11.1648729956            0.93284134646            0.62750025243            0.46499254615            7811067400700            0.84876331568             41.545896917
   5.3626744073  20.7335775304  -3.9379353910  27.3041917963  11.3399499783  14.3917079334   0.5144162943  13.2937287301             1.0397550105            0.60380143044            0.44241151992            7612359953200            0.85882225003             36.751561884
  30.2806214644   1.0094192651   6.2991083845  16.9593196337  22.4483764388   1.7826840894   9.7207205580  -1.9859180829             1.2835047023             0.9661401486            0.74518786116          143352564210000            0.50716451419             61.265760285
  22.1777127602   6.8089036887  25.2399822502  43.1875742383  -2.1016089712  -2.0651727128  -6.3857112719  -9.5050294090             1.0586310121             0.7286904464            0.50859117572           41684860047000            0.82695915335             38.917864024
   9.8104824331   9.3721208420  33.6501195503  17.7285255646  19.0944032207  -9.1808530000  18.1411871770  13.8908269745             1.0933030834            0.88974441097             0.6736694917           77507559027000            0.60051838466             58.822343659
  12.2448329360  22.6792855447  -4.6639380715  26.2284393106  29.7795326986  13.1605694308  18.5603147873   5.8304734218            0.86066390243            0.71679047682            0.53088740551           24908648706000            0.78820009189             52.685710024
   8.1375752563  12.7951598729  -0.1799968950  25.0211202180  -1.3883305524 -11.9627286109  22.9278308233  15.2738083853             0.8070799596            0.55039658543            0.41149727174            8838111027500            0.88810941241             35.121656692
  33.3684690544  22.8163240674  17.1237979864  40.0026671072  24.7433170805 -12.9231752482  11.5172413680  -5.3868890486             1.1999824369            0.94240228606            0.71168874148          104878490199000             0.5213942603             58.531947091
  -3.1040462570   1.7344719797  -0.1611544804  34.1952512282  24.5889064723 -17.4648177733  -0.8119109503 -11.3109868609             0.5856818202            0.52726056384              0.358774612            5710653924300            0.91110074292             34.817535977
